,var1,var2,ground_truth,truth_ab,truth_ba,context,var1_desc,var2_desc
pair0001, Altitude, Temperature, R,1,0,"Information for pairs0001:

DWD data (Deutscher Wetterdienst)

data was taken at 349 stations

taken from
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue

more recent  link (Jan 2010):
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue


x: altitude

y: temperature (average over 1961-1990)

",Altitude refers to the height of an object or point in relation to sea level or ground level.,"Temperature is a measure of the average kinetic energy of the particles in a system, often used in meteorology to indicate the degree of heat or cold in the atmosphere."
pair0002, Altitude, Precipitation, R,1,0,"Information for pairs0002:

DWD data (Deutscher Wetterdienst)

data was taken at 349 stations

taken from
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue

more recent  link (Jan 2010):
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue


x: altitude

y: precipitation (yearly value averaged over 1961-1990)


","Altitude is a geographical concept referring to the height of a specific location above a fixed reference point, often the mean sea level.","Precipitation is a meteorological phenomenon that includes all forms of water, liquid or solid, falling from the atmosphere to the earth's surface, typically measured in terms of the amount of water (in millimeters) that is deposited over a specified area over a certain period of time."
pair0003, Longitude, Temperature, R,1,0,"Information for pairs0003:

DWD data (Deutscher Wetterdienst)

data was taken at 349 stations

taken from
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue

more recent  link (Jan 2010):
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue


x: longitude

y: temperature (averaged over 1961-1990)

","Longitude is a geographic coordinate that specifies the east-west position of a point on the Earth's surface, measured in degrees from the prime meridian.","Temperature is a quantitative measure of the degree of heat present in a substance or an object, often expressed in degrees, and in this context, it refers to the averaged atmospheric temperature recorded at various stations by the Deutscher Wetterdienst from 1961-1990."
pair0004, Altitude, Sunshine hours, R,1,0,"Information for pairs0004:

DWD data (Deutscher Wetterdienst)

data was taken at 349 stations

taken from
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue

more recent  link (Jan 2010):
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue

more recent link (Oct 2012):
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__akt__node.html%3F__nnn%3Dtrue

x: altitude

y: sunshine (yearly value averaged over 1961-1990)

","Altitude is a geographical term referring to the height of a specific location above a fixed reference point, often the mean sea level.","Sunshine hours refer to the total number of hours during which the sun is visible and directly contributing to daylight in a specific location, typically measured on an annual basis."
pair0005, Age, Length, R,1,0,"Information for pairs0005:

https://archive.ics.uci.edu/ml/datasets/Abalone

1. Title of Database: Abalone data

2. Sources:

   (a) Original owners of database:
	Marine Resources Division
	Marine Research Laboratories - Taroona
	Department of Primary Industry and Fisheries, Tasmania
	GPO Box 619F, Hobart, Tasmania 7001, Australia
	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)

   (b) Donor of database:
	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
	Department of Computer Science, University of Tasmania
	GPO Box 252C, Hobart, Tasmania 7001, Australia

   (c) Date received: December 1995

3. Attribute information:

   Given is the attribute name, attribute type, the measurement unit and a
   brief description.  

	Name		Data Type	Meas.	Description
	----		---------	-----	-----------
x:	Rings		integer			+1.5 gives the age in years
y:	Length		continuous	mm	Longest shell measurement


","In the context of the Abalone dataset, the concept of ""Age"" is derived from the ""Rings"" attribute, where the age in years is calculated by adding 1.5 to the integer value of the rings.","In the context of the Abalone dataset, 'Length' is a continuous variable measured in millimeters, representing the longest shell measurement of the abalone."
pair0006, Age, Shell weight, R,1,0,"Information for pairs0006:

https://archive.ics.uci.edu/ml/datasets/Abalone

1. Title of Database: Abalone data

2. Sources:

   (a) Original owners of database:
	Marine Resources Division
	Marine Research Laboratories - Taroona
	Department of Primary Industry and Fisheries, Tasmania
	GPO Box 619F, Hobart, Tasmania 7001, Australia
	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)

   (b) Donor of database:
	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
	Department of Computer Science, University of Tasmania
	GPO Box 252C, Hobart, Tasmania 7001, Australia

   (c) Date received: December 1995

3. Attribute information:

   Given is the attribute name, attribute type, the measurement unit and a
   brief description.  

	Name		Data Type	Meas.	Description
	----		---------	-----	-----------
x:	Rings		integer			+1.5 gives the age in years
y:	Shell weight	continuous	grams	after being dried


","In the context of the Abalone dataset, Age is a derived attribute, calculated by adding 1.5 to the Rings attribute, which represents the number of rings in the abalone's shell, a common biological indicator of age in many species.","Shell weight is a continuous variable measured in grams, representing the weight of an abalone's shell after it has been dried."
pair0007, Age, Diameter, R,1,0,"Information for pairs0007:

https://archive.ics.uci.edu/ml/datasets/Abalone

1. Title of Database: Abalone data

2. Sources:

   (a) Original owners of database:
	Marine Resources Division
	Marine Research Laboratories - Taroona
	Department of Primary Industry and Fisheries, Tasmania
	GPO Box 619F, Hobart, Tasmania 7001, Australia
	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)

   (b) Donor of database:
	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
	Department of Computer Science, University of Tasmania
	GPO Box 252C, Hobart, Tasmania 7001, Australia

   (c) Date received: December 1995

3. Attribute information:

   Given is the attribute name, attribute type, the measurement unit and a
   brief description.  

	Name		Data Type	Meas.	Description
	----		---------	-----	-----------
x:	Rings		integer			+1.5 gives the age in years
y:	Diameter	continuous	mm	perpendicular to length


","In the context of the Abalone dataset, the concept of Age is derived from the 'Rings' attribute, where each ring represents a year, with an additional 1.5 years added to account for the abalone's early life.","Diameter in the context of the Abalone dataset refers to a continuous variable measured in millimeters, representing the perpendicular length of the abalone."
pair0008, Age, Height, R,1,0,"Information for pairs0008:

https://archive.ics.uci.edu/ml/datasets/Abalone

1. Title of Database: Abalone data

2. Sources:

   (a) Original owners of database:
	Marine Resources Division
	Marine Research Laboratories - Taroona
	Department of Primary Industry and Fisheries, Tasmania
	GPO Box 619F, Hobart, Tasmania 7001, Australia
	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)

   (b) Donor of database:
	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
	Department of Computer Science, University of Tasmania
	GPO Box 252C, Hobart, Tasmania 7001, Australia

   (c) Date received: December 1995

3. Attribute information:

   Given is the attribute name, attribute type, the measurement unit and a
   brief description.  

	Name		Data Type	Meas.	Description
	----		---------	-----	-----------
x:	Rings		integer			+1.5 gives the age in years
y:	Height		continuous	mm	with meat in shell


","In the context of the Abalone dataset, the concept of 'Age' refers to the age of the abalone, which is determined by adding 1.5 to the number of rings, an integer value, the abalone has.","The 'Height' in the Abalone dataset is a continuous variable measured in millimeters, representing the measurement of the abalone (a type of marine snail) with its meat still in the shell."
pair0009, Age, Whole weight, R,1,0,"Information for pairs0009:

https://archive.ics.uci.edu/ml/datasets/Abalone

1. Title of Database: Abalone data

2. Sources:

   (a) Original owners of database:
	Marine Resources Division
	Marine Research Laboratories - Taroona
	Department of Primary Industry and Fisheries, Tasmania
	GPO Box 619F, Hobart, Tasmania 7001, Australia
	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)

   (b) Donor of database:
	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
	Department of Computer Science, University of Tasmania
	GPO Box 252C, Hobart, Tasmania 7001, Australia

   (c) Date received: December 1995

3. Attribute information:

   Given is the attribute name, attribute type, the measurement unit and a
   brief description.  

	Name		Data Type	Meas.	Description
	----		---------	-----	-----------
x:	Rings		integer			+1.5 gives the age in years
y:	Whole weight	continuous	grams	whole abalone


","The concept of 'Age' in the context of the Abalone dataset refers to the age of the abalone, which is determined by adding 1.5 to the integer value of the 'Rings' attribute.",Whole weight is a continuous variable measured in grams that represents the total weight of the abalone.
pair0010, Age, Shucked weight, R,1,0,"Information for pairs0010:

https://archive.ics.uci.edu/ml/datasets/Abalone

1. Title of Database: Abalone data

2. Sources:

   (a) Original owners of database:
	Marine Resources Division
	Marine Research Laboratories - Taroona
	Department of Primary Industry and Fisheries, Tasmania
	GPO Box 619F, Hobart, Tasmania 7001, Australia
	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)

   (b) Donor of database:
	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
	Department of Computer Science, University of Tasmania
	GPO Box 252C, Hobart, Tasmania 7001, Australia

   (c) Date received: December 1995

3. Attribute information:

   Given is the attribute name, attribute type, the measurement unit and a
   brief description.  

	Name		Data Type	Meas.	Description
	----		---------	-----	-----------
x:	Rings		integer			+1.5 gives the age in years
y:	Shucked weight	continuous	grams	weight of meat


","In the context of the Abalone dataset, Age is a derived attribute, calculated by adding 1.5 to the number of rings in the abalone, representing the abalone's age in years.",Shucked weight is a continuous variable measured in grams that represents the weight of the meat from the abalone.
