CorrectACauseB,CorrectBCauseA,PairID,VarA,VarB,GroundTruth
1.0,1.0,pair0001, Altitude, Temperature, R
1.0,1.0,pair0002, Altitude, Precipitation, R
1.0,1.0,pair0003, Longitude, Temperature, R
1.0,1.0,pair0004, Altitude, Sunshine hours, R
0.0,1.0,pair0005, Age, Length, R
1.0,1.0,pair0006, Age, Shell weight, R
1.0,1.0,pair0007, Age, Diameter, R
1.0,1.0,pair0008, Age, Height, R
1.0,1.0,pair0009, Age, Whole weight, R
0.0,1.0,pair0010, Age, Shucked weight, R
1.0,1.0,pair0011, Age, Viscera weight, R
1.0,1.0,pair0012, Age, Wage per hour, R
1.0,1.0,pair0013, Displacement, Fuel consumption, R
1.0,1.0,pair0014, Horse power, Fuel consumption, R
1.0,1.0,pair0015, Weight, Fuel consumption, R
1.0,1.0,pair0016, Horsepower, Acceleration, R
1.0,1.0,pair0017, Age, Dividends from stocks, R
1.0,1.0,pair0018, Age, Concentration GAG, R
1.0,1.0,pair0019, Current duration, Next interval, R
1.0,1.0,pair0020, Latitude, Temperature, R
1.0,1.0,pair0021, Longitude, Precipitation, R
0.0,1.0,pair0022, Age, Height, R
0.0,1.0,pair0023, Age, Weight, R
1.0,1.0,pair0024, Age, Heart rate, R
1.0,1.0,pair0025, Cement, Compressive strength, R
1.0,1.0,pair0026, Blast furnace slag, Compressive strength, R
1.0,1.0,pair0027, Fly ash, Compressive strength, R
1.0,1.0,pair0028, Water, Compressive strength, R
1.0,1.0,pair0029, Superplasticizer, Compressive strength, R
1.0,1.0,pair0030, Coarse aggregate, Compressive strength, R
1.0,1.0,pair0031, Fine aggregate, Compressive strength, R
1.0,1.0,pair0032, Age, Compressive strength, R
1.0,1.0,pair0033, Alcohol consumption, Mean corpuscular volume, R
1.0,1.0,pair0034, Alcohol consumption, Alkaline phosphotase, R
1.0,1.0,pair0035, Alcohol consumption, Alanine aminotransferase, R
1.0,1.0,pair0036, Alcohol consumption, Aspartate aminotransferase, R
1.0,1.0,pair0037, Alcohol consumption, Gamma-glutamyl transpeptdase, R
0.0,1.0,pair0038, Age, Body mass index, R
0.0,1.0,pair0039, Age, Serum insulin, R
1.0,1.0,pair0040, Age, Diastolic blood pressure, R
0.0,1.0,pair0041, Age, Plasma glucose concentration, R
1.0,1.0,pair0042, Day of the year, Temperature, R
1.0,1.0,pair0043, Temperature at t, Temperature at t+1, R
1.0,1.0,pair0044, Pressure at t, Pressure at t+1, R
1.0,1.0,pair0045, Sea level pressure at t, Sea level pressure at t+1, R
1.0,1.0,pair0046, Relative humidity at t, Relative humidity at t+1, R
1.0,1.0,pair0047, Number of cars, Type of day, L
1.0,1.0,pair0048, Indoor temperature, Outdoor temperature, L
0.0,0.0,pair0049, Ozone concentration, Temperature, R
1.0,0.0,pair0050, Ozone concentration, Temperature, R
1.0,0.0,pair0051, Ozone concentration, Temperature, R
0.0,1.0,pair0052, (Temp and Press and SLP and Rh), (Temp and Press and Slp and Rh), L
1.0,1.0,pair0053, Ozone concentration, (Wind speed and Radiation and Temperature), L
1.0,0.0,pair0054, (Displacement and Horsepower and Weight), (Fuel cons and ption and Acceleration), R
1.0,1.0,pair0055, Ozone concentration (16-dim.), Radiation (16-dim.), L
1.0,1.0,pair0056, Female life expectancy 2000-2005, Latitude, L
1.0,0.0,pair0057, Female life expectancy 1995-2000, Latitude, L
1.0,0.0,pair0058, Female life expectancy 1990-1995, Latitude, L
1.0,0.0,pair0059, Female life expectancy 1985-1990, Latitude, L
1.0,1.0,pair0060, Male life expectancy 2000-2005, Latitude, L
1.0,1.0,pair0061, Male life expectancy 1995-2000, Latitude, L
1.0,0.0,pair0062, Male life expectancy 1990-1995, Latitude, L
1.0,0.0,pair0063, Male life expectancy 1985-1990, Latitude, L
1.0,1.0,pair0064, Drinking water access, Infant mortality, R
0.0,1.0,pair0065, Stock return of Hang Seng Bank, Stock return of HSBC Hldgs, R
0.0,1.0,pair0066, Stock return of Hutchison, Stock return of Cheung kong, R
0.0,1.0,pair0067, Stock return of Cheung kong, Stock return of Sun Hung Kai Prop., R
0.0,1.0,pair0068, Bytes sent, Open http connections, L
1.0,1.0,pair0069, Inside temperature, Outside temperature, L
1.0,1.0,pair0070, Parameter, Answer, R
1.0,1.0,pair0071, Symptoms (6-dim.), Classification of disease (2-dim.), R
1.0,1.0,pair0072, Sunspots, Global mean temperature, R
0.0,1.0,pair0073, CO2 emissions, Energy use, L
1.0,1.0,pair0074, GNI per capita, Life expectancy, R
0.0,1.0,pair0075, Under-5 mortality rate, GNI per capita, L
1.0,1.0,pair0076, Population growth, Food consumption growth, R
1.0,1.0,pair0077, Temperature, Solar radiation, L
1.0,1.0,pair0078, PPFD, Net Ecosystem Productivity, R
1.0,1.0,pair0079, Net Ecosystem Productivity, Diffuse PPFDdif, L
1.0,1.0,pair0080, Net Ecosystem Productivity, Direct PPFDdir, L
1.0,0.0,pair0081, Temperature, Local CO2 flux, R
1.0,1.0,pair0082, Temperature, Local CO2 flux, R
1.0,0.0,pair0083, Temperature, Local CO2 flux, R
0.0,1.0,pair0084, Employment, Population, L
0.0,1.0,pair0085, Time of measurement, Protein content of milk, R
1.0,1.0,pair0086, Size of apartment, Monthly rent, R
0.0,0.0,pair0087, Temperature, Total snow, L
1.0,1.0,pair0088, Age, Relative spinal bone mineral density, R
1.0,0.0,pair0089, root decomposition Oct (grassl), root decomposition Oct (grassl), L
1.0,0.0,pair0090, root decomposition Oct (forest), root decomposition Oct (forest), L
1.0,1.0,pair0091, clay cont. in soil (forest), soil moisture, R
1.0,1.0,pair0092, organic carbon in soil (forest), clay cont. in soil (forest), L
1.0,1.0,pair0093, precipitation, runoff, R
1.0,1.0,pair0094, hour of day, temperature, R
1.0,1.0,pair0095, hour of day, electricity load, R
1.0,1.0,pair0096, temperature, electricity load, R
1.0,1.0,pair0097, speed at the beginning, speed at the end, R
1.0,1.0,pair0098, speed at the beginning, speed at the end, R
1.0,1.0,pair0099, language test score, social-economic status family, L
1.0,0.0,pair0100, cycle time of CPU, performance, R
0.0,0.0,pair0101, grey value of a pixel, brightness of the screen, R
1.0,1.0,pair0102, position of a ball, time for passing a track segment, R
1.0,1.0,pair0103, position of a ball, time for passing a track segment, R
1.0,1.0,pair0104, time for passing 1. segment, time for passing 2. segment, R
1.0,1.0,pair0105, pixel vector of a patch, total brightness at the screen, R
1.0,1.0,pair0106, time required for one round, voltage, L
1.0,1.0,pair0107, strength of contrast, answer correct or not, R
1.0,1.0,pair0108, time for 1/6 rotation, temperature, L
